
Eurobarometer	Eurobarometer 52.0 (Oct-Nov 1999)	version_of	10.4232/1.10933	correct
Eurobarometer	Eurobarometer 52.0 (Oct-Nov 1999)	part_of_temporal	10.4232/1.10933	correct
Eurobarometer	Eurobarometer 80.2 (2013)	part_of_temporal	10.4232/1.12010	correct
Eurobarometer	Flash Eurobarometer 55 (Dublin Summit)	part_of_temporal	10.4232/1.2897	incorrect
Eurobarometer	Eurobarometer 5 (1976)	part_of_temporal	10.4232/1.0989	correct
Eurobarometer	Eurobarometer 18 (1982)	part_of_temporal	10.4232/1.1209	correct
Eurobarometer	Eurobarometer 60.3: Time Allocation for Job, Learning, Family, and Other Activities, Retirement Preferences, and Product Safety Instructions for 'Do-It-Yourself' Products and Toys and Products for Children, November 2003-January 2004	part_of_temporal	10.3886/ICPSR03993	correct
Eurobarometer	Eurobarometer 60.3: Time Allocation for Job, Learning, Family, and Other Activities, Retirement Preferences, and Product Safety Instructions for 'Do-It-Yourself' Products and Toys and Products for Children, November 2003-January 2004	part_of	10.3886/ICPSR03993	correct
EVS	EVS - European Values Study 1999 - Kroatien	part_of_spatial	10.4232/1.11165	correct
EVS	EVS - European Values Study 1999 - Kroatien	part_of_temporal	10.4232/1.11165	correct
Eurobarometer	Eurobarometer 47.2OVR: Young Europeans, April-June 1997	part_of_temporal	10.3886/ICPSR02091	correct
Eurobarometer	Eurobarometer 47.2OVR: Young Europeans, April-June 1997	part_of_supplement	10.3886/ICPSR02091	correct
allbus	Allgemeine Bevölkerungsumfrage der Sozialwissenschaften ALLBUS 2012	version_of	10.4232/1.11753	correct
allbus	Allgemeine Bevölkerungsumfrage der Sozialwissenschaften ALLBUS 2012	part_of_temporal	10.4232/1.11753	correct
allbus	German Social Survey (ALLBUS) Cumulative File, 1980-1990	version_of	10.3886/ICPSR06101.v1	correct
allbus	German Social Survey (ALLBUS) Cumulative File, 1980-1990	part_of_temporal	10.3886/ICPSR06101.v1	incorrect
allbus	German Social Survey (ALLBUS) Cumulative File, 1980-1990	parts_of_temporal	10.3886/ICPSR06101.v1	correct
allbus	German Social Survey (ALLBUS) Cumulative File, 1980-1990	part_of_translation	10.3886/ICPSR06101.v1	correct
Eurobarometer	Eurobarometer 76.1: Financial and Economic Crisis, Financial Services, Corruption, Development Aid, and Gender Equality, September 2011	part_of_temporal	10.3886/ICPSR34552	correct
Eurobarometer	Eurobarometer 76.1: Financial and Economic Crisis, Financial Services, Corruption, Development Aid, and Gender Equality, September 2011	part_of	10.3886/ICPSR34552	correct
Eurobarometer	Flash Eurobarometer 307 (Introduction of the Euro in the New Member States, wave 11)	part_of_temporal	10.4232/1.10742	incorrect
Eurobarometer	Eurobarometer 81.5 (2014)	part_of_temporal	10.4232/1.12158	correct
EVS	European Values Study 2008: Ukraine (EVS 2008)	version_of	10.4232/1.10174	correct
EVS	European Values Study 2008: Ukraine (EVS 2008)	part_of_spatial	10.4232/1.10174	correct
EVS	European Values Study 2008: Ukraine (EVS 2008)	part_of_temporal	10.4232/1.10174	correct
Eurobarometer	Eurobarometer 74.1 (8-9 2010)	version_of	10.4232/1.10710	correct
Eurobarometer	Eurobarometer 74.1 (8-9 2010)	part_of_temporal	10.4232/1.10710	correct
Eurobarometer	Flash Eurobarometer 235 (Youth and their Rights / Rights of the Child)	part_of_temporal	10.4232/1.4814	incorrect
Eurobarometer	Flash Eurobarometer 152 (Intergovernmental Conference)	version_of	10.4232/1.10432	incorrect
Eurobarometer	Flash Eurobarometer 152 (Intergovernmental Conference)	part_of_temporal	10.4232/1.10432	incorrect
allbus	Allgemeine Bevölkerungsumfrage der Sozialwissenschaften ALLBUS 2012	part_of_temporal	10.4232/1.11595	correct
Eurobarometer	Eurobarometer 44.0 (Oct-Nov 1995)	version_of	10.4232/1.10916	correct
Eurobarometer	Eurobarometer 44.0 (Oct-Nov 1995)	part_of_temporal	10.4232/1.10916	correct
Politbarometer	Politbarometer West (Oktober 1991)	part_of_spatial	10.4232/1.2099	correct
Politbarometer	Politbarometer West (Oktober 1991)	part_of_temporal	10.4232/1.2099	correct
Eurobarometer	Eurobarometer 75.3 (2011)	version_of	10.4232/1.11768	correct
Eurobarometer	Eurobarometer 75.3 (2011)	part_of_temporal	10.4232/1.11768	correct
ISSP	International Social Survey Programme: National Identity II - ISSP 2003	version_of	10.4232/1.11449	correct
ISSP	International Social Survey Programme: National Identity II - ISSP 2003	part_of_temporal	10.4232/1.11449	correct
ISSP	International Social Survey Programme: National Identity II - ISSP 2003	part_of	10.4232/1.11449	correct
Eurobarometer	Eurobarometer 21 (Apr 1984)	version_of	10.4232/1.10878	correct
Eurobarometer	Eurobarometer 21 (Apr 1984)	part_of_temporal	10.4232/1.10878	correct
ISSP	Role vlády III (ISSP 1996) - ?eská republika	version_of	10.14473/ISSP00005	correct
ISSP	Role vlády III (ISSP 1996) - ?eská republika	part_of_spatial	10.14473/ISSP00005	correct
ISSP	Role vlády III (ISSP 1996) - ?eská republika	part_of_temporal	10.14473/ISSP00005	correct
EVS	European Values Study Longitudinal Data File 1981-2008 (EVS 1981-2008) – Restricted Use File	part_of_temporal	10.4232/1.5174	incorrect
EVS	European Values Study Longitudinal Data File 1981-2008 (EVS 1981-2008) – Restricted Use File	parts_of_temporal	10.4232/1.5174	missing
EVS	European Values Study Longitudinal Data File 1981-2008 (EVS 1981-2008) – Restricted Use File	part_of_confidential	10.4232/1.5174	missing
Politbarometer	Politbarometer West (Dezember 1991)	part_of_spatial	10.4232/1.2101	correct
Politbarometer	Politbarometer West (Dezember 1991)	part_of_temporal	10.4232/1.2101	correct
Eurobarometer	Flash Eurobarometer 166 (Evaluation des support d'information sur l'élargissement de l'UE)	version_of	10.4232/1.10441	incorrect
Eurobarometer	Flash Eurobarometer 166 (Evaluation des support d'information sur l'élargissement de l'UE)	part_of_temporal	10.4232/1.10441	incorrect
Politbarometer	Politbarometer (Oktober 1988)	part_of_temporal	10.4232/1.1694	correct
Eurobarometer	Candidate Countries Eurobarometer 2003.3, June-July 2003	part_of_temporal	10.3886/ICPSR04055	correct
Eurobarometer	Candidate Countries Eurobarometer 2003.3, June-July 2003	parts_of_spatial	10.3886/ICPSR04055	correct
Eurobarometer	Candidate Countries Eurobarometer 2002.1, March-April 2002: Social Situation in the Countries Applying for European Union Membership	version_of	10.3886/ICPSR29361.v1	correct
Eurobarometer	Candidate Countries Eurobarometer 2002.1, March-April 2002: Social Situation in the Countries Applying for European Union Membership	part_of_temporal	10.3886/ICPSR29361.v1	correct
Eurobarometer	Candidate Countries Eurobarometer 2002.1, March-April 2002: Social Situation in the Countries Applying for European Union Membership	parts_of_spatial	10.3886/ICPSR29361.v1	correct
Eurobarometer	Flash Eurobarometer 222 (Euro Introduction in Cyprus)	part_of_spatial	10.4232/1.4808	incorrect
Eurobarometer	Flash Eurobarometer 222 (Euro Introduction in Cyprus)	part_of_temporal	10.4232/1.4808	incorrect
Eurobarometer	Flash Eurobarometer 343 (Impact and Perception of the Public Sector Innovation among Companies)	part_of_temporal	10.4232/1.11890	incorrect
Eurobarometer	Flash Eurobarometer 191 (Introduction of the Euro in the New Member States)	part_of_temporal	10.4232/1.4536	incorrect
Eurobarometer	Flash Eurobarometer 189a (EU communication and the citizens - General Public Survey)	part_of_temporal	10.4232/1.4453	incorrect
